Timestamp,pet,Gender,pokemon,day_with_pokemon,animal,talk_pokemon
2024/10/18 2:57:33 pm CET,No,Female,Gengar,Battle,Kangaroo,That the end of the world is near ....
2024/10/18 2:57:54 pm CET,Yes,Female,Pikachu,Picnic,Snail,kill you
2024/10/18 2:58:23 pm CET,Yes,Male,Squirtle,Battle,Octopus,I will squirt on you!
2024/10/18 2:58:32 pm CET,No,Female,Pikachu,Picnic,Octopus,I hate your shoes!
2024/10/18 2:59:12 pm CET,No,Male,Pikachu,Adventure,Kangaroo,What are we doing?
2024/10/18 2:59:22 pm CET,No,Female,Pikachu,Adventure,Snail,long talks
2024/10/18 3:00:17 pm CET,Yes,Female,Mimikyu,Adventure,Octopus,I hate you
2024/10/18 3:00:45 pm CET,No,Female,Chikorita,Adventure,Octopus,"""I will leave forever. :("""
2024/10/18 3:06:22 pm CET,No,Female,Eevee,Adventure,Kangaroo,Anything
2024/10/18 3:06:23 pm CET,Yes,Female,Lugia,Adventure,Octopus,You're weird
2024/10/18 3:26:17 pm CET,Yes,Female,Eevee,Picnic,Octopus,
2024/10/18 3:26:55 pm CET,Yes,Female,Eevee,Picnic,Octopus,I dont want you as my owner :( 
2024/10/18 4:21:38 pm CET,Yes,Male,Squirtle,Adventure,Octopus,that it didn't like me 
2024/10/20 3:10:02 pm CET,No,Male,Squirtle,Battle,none of the above,not sure
2024/10/21 10:39:04 am CET,Yes,Male,Squirtle,Adventure,Squid,I choose you
2024/10/21 11:15:48 am CET,Yes,Male,Squirtle,Adventure,Kangaroo,There are many more of you than us 
2024/10/21 11:49:18 am CET,No,Male,Lugia,Adventure,Octopus,"we actually don't like being slaves to humans btw, please don't put me back in the pokeball"
